Geography,Date,Democrat,Republican,Pollster,Sample Size
Pennsylvania,11/3/2024,46%,47%,Trafalgar Group,1089
Pennsylvania,11/3/2024,50%,49%,Patriot Polling,903
Pennsylvania,11/2/2024,48%,47%,InsiderAdvantage,800
Pennsylvania,11/2/2024,50%,45%,The New York Times/Siena College,1527
Pennsylvania,10/31/2024,46%,43%,Morning Consult,1538
Pennsylvania,10/30/2024,49%,46%,Muhlenberg College Institute of Public Opinion,460
Nevada,11/3/2024,51%,48%,Patriot Polling,792
Nevada,11/2/2024,52%,43%,The New York Times/Siena College,1010
Arizona,11/3/2024,51%,48%,Patriot Polling,801
Arizona,11/2/2024,49%,47%,InsiderAdvantage,800
Arizona,11/2/2024,50%,45%,The New York Times/Siena College,1025
Arizona,10/30/2024,50%,42%,Morning Consult,666
Wisconsin,11/3/2024,51%,49%,Patriot Polling,858
Wisconsin,11/2/2024,48%,48%,InsiderAdvantage,800
Wisconsin,11/2/2024,48%,46%,The New York Times/Siena College,998
Wisconsin,11/1/2024,49%,41%,Morning Consult,1112
Wisconsin,10/29/2024,48%,50%,Tarrance Group,620
Rhode Island,11/2/2024,54%,40%,University of New Hampshire Survey Center,708
Vermont,11/2/2024,64%,27%,University of New Hampshire Survey Center,1167
Massachusetts,11/2/2024,60%,37%,University of New Hampshire Survey Center,744
Maine,11/2/2024,50%,35%,University of New Hampshire Survey Center,1485
Ohio,11/1/2024,46%,47%,Morning Consult,1254
Florida,11/1/2024,45%,48%,Morning Consult,2022
Texas,10/31/2024,44%,47%,Morning Consult,2120
Maryland,10/31/2024,49%,42%,Morning Consult,468
Michigan,11/2/2024,49%,47%,AtlasIntel,1198
Pennsylvania,11/2/2024,49%,47%,AtlasIntel,2049
Wisconsin,11/2/2024,49%,48%,AtlasIntel,728
Arizona,11/2/2024,47%,49%,AtlasIntel,967
Arizona,10/28/2024,50%,46%,Mitchell Research & Communications,610
Florida,11/1/2024,45%,53%,Stetson University Center for Public Opinion Research,452
Ohio,10/30/2024,48%,46%,Miami University Department of Political Science,857
Maryland,10/30/2024,48%,40%,Chism Strategies,510
Minnesota,10/30/2024,52%,35%,Chism Strategies,534
Virginia,10/30/2024,46%,45%,Chism Strategies,520
Wyoming,10/28/2024,26%,73%,Cygnal,600 
Massachusetts,11/1/2024,55%,33%,MassINC Polling Group,582
Arizona,10/31/2024,48%,48%,OnMessage,800
Arizona,10/31/2024,49%,45%,YouGov,856
Arizona,10/31/2024,54%,46%,ActiVote,400
Arizona,10/30/2024,50%,45%,Data for Progress,1079
Wisconsin,10/31/2024,48%,47%,OnMessage,800
Wisconsin,10/31/2024,50%,45%,YouGov,863
Wisconsin,10/31/2024,54%,46%,ActiVote,400
Wisconsin,10/30/2024,51%,48%,Marist College,1330
Michigan,10/31/2024,47%,46%,OnMessage,800
Michigan,10/31/2024,51%,42%,YouGov,942
Michigan,10/31/2024,51%,49%,ActiVote,400
Michigan,10/30/2024,52%,46%,Marist College,1214
Michigan,10/28/2024,47%,42%,EPIC-MRA,600
Pennsylvania,10/31/2024,46%,46%,OnMessage,800
Pennsylvania,10/31/2024,50%,44%,YouGov,947
Pennsylvania,10/31/2024,49%,45%,Data for Progress,908
Pennsylvania,10/31/2024,51%,50%,ActiVote,400
Pennsylvania,10/30/2024,49%,46%,Suffolk University,500
Pennsylvania,10/30/2024,50%,48%,Marist College,1400
Pennsylvania,10/30/2024,49%,46%,The Washington Post,1204
Nevada,10/31/2024,49%,45%,Emerson College,700
Nevada,10/31/2024,46%,47%,Susquehanna Polling & Research,400
Nevada,10/31/2024,48%,46%,Noble Predictive Insights,593
Nevada,10/31/2024,51%,44%,YouGov,753
Nevada,10/30/2024,49%,42%,Data for Progress,721
Minnesota,10/31/2024,56%,44%,ActiVote,400
California,10/30/2024,60%,36%,Cygnal,611
California,10/29/2024,55%,34%,University of California Berkeley Institute of Governmental Studies,4341
Virginia,10/29/2024,52%,42%,Cygnal,600
Virginia,10/29/2024,51%,40%,Roanoke of California Berkeley Institute of Governmental Studies,4341
Maine,10/29/2024,54%,28%,SurveyUSA,1079
Nebraska,10/28/2024,44%,51%,Torchlight Strategies,605
Nebraska,10/31/2024,47%,47%,Change Research,600
Wisconsin,10/31/2024,49%,49%,AtlasIntel,673
Wisconsin,10/30/2024,48%,46%,TIPP Insights,831
Wisconsin,10/30/2024,49%,48%,Echelon Insights,600
Pennsylvania,10/31/2024,49%,46%,AtlasIntel,1738
Pennsylvania,10/30/2024,44%,47%,Echelon Insights,600
Pennsylvania,10/23/2024,48%,42%,University of Massachusetts Lowell Center for Public Opinion/YouGov,800
Nevada,10/31/2024,47%,45%,AtlasIntel,845
Michigan,10/31/2024,50%,46%,AtlasIntel,1136
Michigan,10/30/2024,48%,46%,Echelon Insights,600
Michigan,10/29/2024,47%,49%,Mitchell Research & Communications,400
Michigan,10/28/2024,48%,45%,The Washington Post,1003
Michigan,10/24/2024,48%,39%,University of Massachusetts Lowell Center for Public Opinion/YouGov,600
Arizona,10/31/2024,48%,49%,AtlasIntel,1005
Arizona,10/30/2024,48%,44%,Noble Predictive Insights,775
Maryland,10/30/2024,57%,43%,ActiVote,400
Massachusetts,10/30/2024,63%,37%,ActiVote,400
Florida,10/28/2024,45%,49%,Cygnal,600
Ohio,10/24/2024,46%,44%,University of Akron Ray C. Bliss Institute of Applied Politics,1241
Wisconsin,10/29/2024,49%,48%,SoCal Strategies,600
Wisconsin,10/28/2024,49%,47%,CNN/SSRS,736
Wisconsin,10/24/2024,49%,47%,Marquette University Law School,753
Texas,10/28/2024,45%,49%,Cygnal,600
Texas,10/17/2024,45%,49%,YouGov,1108
Utah,10/28/2024,26%,54%,Noble Predictive Insights,695
Pennsylvania,10/28/2024,50%,47%,Quinnipiac University,2186
Pennsylvania,10/28/2024,50%,48%,Beacon Research/Shaw & Company Research,1057
Pennsylvania,10/28/2024,48%,45%,CNN/SSRS,819
Pennsylvania,10/28/2024,48%,42%,YouGov,1249
Pennsylvania,10/22/2024,49%,46%,Susquehanna Polling & Research,500
Pennsylvania,10/17/2024,50%,42%,YouGov,1043
Michigan,10/28/2024,51%,47%,Beacon Research/Shaw & Company Research,988
Michigan,10/28/2024,48%,42%,CNN/SSRS,726
Michigan,10/27/2024,47%,45%,Suffolk University,500
Nebraska,10/28/2024,43%,50%,YouGov,1202
Arizona,10/27/2024,49%,34%,RABA Research,589
New Jersey,10/27/2024,57%,39%,Fairleigh Dickinson University,806
New Jersey,10/22/2024,49%,26%,Fairleigh Dickinson University,451
Massachusetts,10/26/2024,56%,36%,Emerson College,1000
Minnesota,10/22/2024,52%,40%,Embold Research,1734
New York,10/17/2024,57%,32%,YouGov,1089
Florida,10/17/2024,45%,49%,YouGov,1094
California,10/17/2024,56%,35%,YouGov,1139
Wisconsin,10/29/2024,49%,48%,AtlasIntel,1470
Wisconsin,10/27/2024,48%,49%,InsiderAdvantage,800
Pennsylvania,10/29/2024,49%,47%,AtlasIntel,1299
Nevada,10/29/2024,49%,44%,AtlasIntel,1083
Nevada,10/28/2024,47%,45%,Trafalgar Group,1082
Nevada,10/26/2024,50%,41%,CNN/SSRS,683
Michigan,10/29/2024,49%,47%,AtlasIntel,983
Michigan,10/27/2024,48%,46%,Emerson College,1000
Michigan,10/27/2024,48%,47%,Susquehanna Polling & Research,400
Michigan,10/24/2024,46%,43%,Glengariff Group,600
Arizona,10/29/2024,48%,48%,AtlasIntel,1458
Arizona,10/28/2024,45%,45%,Data Orbital,550
Arizona,10/26/2024,51%,43%,CNN/SSRS,781
Arizona,10/20/2024,51%,36%,University of Arizona School of Government and Public Policy/Truedot,846
Arizona,8/31/2024,47%,36%,University of Arizona School of Government and Public Policy/Truedot,1155
Ohio,10/28/2024,48%,47%,Trafalgar Group,1127
Ohio,10/28/2024,49%,51%,ActiVote,400
Tennessee,10/28/2024,39%,61%,ActiVote,400
Indiana,10/28/2024,43%,57%,ActiVote,400
Virginia,10/28/2024,55%,45%,ActiVote,400
New York,10/27/2024,58%,39%,Cygnal,600
Florida,10/27/2024,46%,50%,Florida Atlantic University PolCom Lab/Mainstreet Research,897
Missouri,10/26/2024,46%,49%,GQR,600
New Jersey,10/24/2024,55%,38%,Cygnal,600
Texas,10/21/2024,45%,47%,University of Texas at Tyler Center for Opinion Research,956
Montana,10/16/2024,43%,43%,Montana State University Billings,760
New York,10/28/2024,60%,40%,ActiVote,400
Michigan,10/27/2024,48%,48%,InsiderAdvantage,800
Michigan,10/26/2024,51%,48%,Patriot Polling,796
Pennsylvania,10/27/2024,47%,47%,InsiderAdvantage,800
Pennsylvania,10/26/2024,45%,42%,North Star Opinion Research,600
Texas,10/27/2024,48%,52%,ActiVote,400
Texas,10/26/2024,46%,50%,The New York Times/Siena College,1180
Texas,10/23/2024,46%,46%,GBAO,800
Florida,10/27/2024,45%,55%,ActiVote,400
Florida,10/25/2024,46%,49%,St. Pete Polls,1227
Missouri,10/27/2024,44%,56%,ActiVote,400
California,10/27/2024,61%,39%,ActiVote,400
Nebraska Special,10/26/2024,38%,56%,The New York Times/Siena College,1194
Nebraska,10/26/2024,46%,48%,The New York Times/Siena College,1194
Wisconsin,10/23/2024,46%,44%,Suffolk University,500
Arizona,10/26/2024,50%,46%,Trafalgar Group,1094
Montana,10/25/2024,48%,51%,Emerson College,1000
New Jersey,10/24/2024,55%,38%,Cygnal,600
Virginia,10/23/2024,54%,41%,The Washington Post/George Mason University Schar School of Policy and Government,1004
Missouri,10/23/2024,41%,51%,Emerson College,620
Wisconsin,10/22/2024,48%,49%,OnMessage,600
Ohio,10/22/2024,47%,49%,OnMessage,600
Nevada,10/22/2024,48%,48%,OnMessage,600
Florida,10/20/2024,46%,51%,Cherry Communications,614
Utah,10/19/2024,24%,65%,HarrisX,813
Wisconsin,10/22/2024,48%,48%,Emerson College,800
Pennsylvania,10/22/2024,47%,46%,Emerson College,860
Pennsylvania,10/20/2024,49%,48%,Franklin & Marshall College Center for Opinion Research,583
Maryland,10/22/2024,52%,40%,The Washington Post/University of Maryland Center for Democracy and Civic Engagement,1000
Arizona,10/22/2024,53%,45%,Marist College,1193
Ohio,10/21/2024,47%,45%,Bowling Green State University Democracy and Public Policy Research Network/YouGov,1000
California,10/15/2024,63%,37%,Public Policy Institute California,1137
Maryland,10/21/2024,57%,43%,Emerson College,865
Texas,10/21/2024,47%,48%,Emerson College,815
Nebraska,10/21/2024,48%,46%,Change Research,815
Wisconsin,10/21/2024,49%,48%,Quinnipiac University,1108
Wisconsin,9/23/2024,52%,44%,Rodriguez Gudelunas Strategies,400
Michigan,10/21/2024,52%,44%,Quinnipiac University,1136
Michigan,9/23/2024,50%,45%,Rodriguez Gudelunas Strategies,400
Florida,10/20/2024,47%,53%,Emerson College,860
Pennsylvania,9/23/2024,47%,45%,Rodriguez Gudelunas Strategies,400
Pennsylvania,9/23/2024,44%,40%,Monmouth University Polling Institute,654
Arizona,10/20/2024,50%,46%,InsiderAdvantage,800
Nevada,10/20/2024,48%,44%,InsiderAdvantage,800
Nevada,10/15/2024,49%,44%,"Fabrizio, Lee & Associates/Impact Research",600
Michigan,10/20/2024,46%,45%,Trafalgar Group,1090
Wisconsin,10/20/2024,48%,49%,Trafalgar Group,1083
New Mexico,10/18/2024,51%,40%,Research & Polling,1024
New York,10/17/2024,57%,31%,Siena College,872
Ohio,10/20/2024,48%,52%,ActiVote,400
Florida,10/20/2024,48%,52%,ActiVote,400
Florida,10/18/2024,42%,45%,Redfield & Wilton Strategies,1275
Florida,10/18/2024,46%,49%,University of North Florida Public Opinion Research Lab,977
Pennsylvania,10/19/2024,47%,47%,Trafalgar Group,1084
Wisconsin,10/18/2024,45%,44%,Redfield & Wilton Strategies,622
Nevada,10/18/2024,48%,41%,Redfield & Wilton Strategies,529
Michigan,10/18/2024,45%,38%,Redfield & Wilton Strategies,1008
Arizona,10/18/2024,48%,41%,Redfield & Wilton Strategies,691
Washington,10/17/2024,53%,38%,Public Policy Polling,571
Wisconsin,10/17/2024,49%,46%,AtlasIntel,932
Pennsylvania,10/17/2024,47%,48%,AtlasIntel,2048
Nevada,10/17/2024,47%,43%,AtlasIntel,1171
Michigan,10/17/2024,48%,48%,AtlasIntel,1529
Arizona,10/17/2024,50%,46%,AtlasIntel,1440
California,10/18/2024,63%,37%,ActiVote,400
Tennessee,10/18/2024,39%,61%,ActiVote,400
Wisconsin,10/18/2024,49%,45%,The Bullfinch Group,600
Florida,10/17/2024,44%,52%,RMG Research,788
Pennsylvania,10/17/2024,50%,43%,The Bullfinch Group,600
Pennsylvania,7/8/2024,48%,45%,Expedition Strategies,284
Michigan,10/17/2024,51%,42%,Expedition Strategies,275
Washington,10/14/2024,55%,32%,SurveyUSA,703
Texas,10/10/2024,44%,51%,YouGov,1091
New Jersey,7/8/2024,50%,35%,Expedition Strategies,272
Montana,7/8/2024,47%,48%,Expedition Strategies,251
Arizona,7/8/2024,49%,45%,Expedition Strategies,268
Arizona,10/16/2024,54%,45%,YouGov,1403
Arizona,10/15/2024,52%,40%,Morning Consult,653
Michigan,10/16/2024,49%,45%,RMG Research,789
Michigan,10/15/2024,48%,41%,Morning Consult,1065
Michigan,10/14/2024,45%,40%,Mitchell Research & Communications,589
Wisconsin,10/16/2024,50%,47%,RMG Research,787
Wisconsin,10/15/2024,49%,44%,Morning Consult,527
Texas,10/16/2024,47%,53%,ActiVote,400
Texas,10/15/2024,45%,46%,Morning Consult,2048
Nebraska,10/15/2024,44%,51%,Torchlight Strategies,625
Pennsylvania,10/15/2024,49%,41%,Morning Consult,1395
Pennsylvania,10/9/2024,48%,39%,University of Massachusetts Lowell Center for Public Opinion/YouGov,800
Ohio,10/15/2024,46%,47%,Morning Consult,1243
Nevada,10/15/2024,52%,37%,Morning Consult,496
Maryland,10/15/2024,51%,39%,Morning Consult,490
Utah,10/7/2024,21%,51%,Noble Predictive Insights,539
Nevada,10/14/2024,46%,41%,Redfield & Wilton Strategies,838
Minnesota,10/14/2024,42%,35%,Redfield & Wilton Strategies,544
Michigan,10/14/2024,44%,40%,Redfield & Wilton Strategies,682
Florida,10/14/2024,42%,45%,Redfield & Wilton Strategies,1009
Arizona,10/14/2024,47%,42%,Redfield & Wilton Strategies,1141
California,10/14/2024,56%,33%,Emerson College,1000
Wisconsin,10/14/2024,50%,49%,Patriot Polling,803
Virginia,10/14/2024,55%,44%,ActiVote,400
Michigan,10/13/2024,48%,45%,SoCal Strategies,692
Michigan,10/11/2024,46%,41%,Marketing Resource Group (MRG),600
Michigan,10/8/2024,49%,46%,"Fabrizio, Lee & Associates/Impact Research",600
Nevada,10/13/2024,48%,43%,Trafalgar Group,1088
Nebraska Special,10/12/2024,37%,53%,SurveyUSA,563
Nebraska,10/12/2024,50%,44%,SurveyUSA,563
Massachusetts,10/10/2024,56%,34%,University of Massachusetts Department of Political Science/YouGov,700
Pennsylvania,10/10/2024,48%,45%,American Pulse Research & Polling,1193
Texas,10/10/2024,46%,50%,University of Houston Hobby School of Public Affairs,1329
Tennessee,10/8/2024,31%,54%,Targoz Market Research,971
Rhode Island,9/8/2024,52%,24%,University of Rhode Island Survey Initiative/YouGov,500
Arizona,10/13/2024,48%,44%,Trafalgar Group,1090
Florida,10/4/2024,41%,48%,Mason-Dixon Polling & Strategy,625
Mississippi,10/3/2024,35%,48%,Change Research,565
Arizona,10/10/2024,48%,41%,The New York Times/Siena College,808
Pennsylvania,10/10/2024,48%,44%,The New York Times/Siena College,857
Arizona,10/10/2024,53%,47%,ActiVote,400
Nebraska,10/8/2024,42%,48%,Torchlight Strategies,600
Nebraska,10/8/2024,46%,43%,Change Research,895
California,10/1/2024,53%,36%,University of California Berkeley Institute of Governmental Studies,3045
Wisconsin,10/9/2024,48%,47%,InsiderAdvantage,800
Emerson College,10/8/2024,50%,46%,Emerson College,1000
Michigan,10/9/2024,46%,45%,InsiderAdvantage,800
Michigan,10/8/2024,49%,44%,Emerson College,950
Pennsylvania,10/9/2024,47%,43%,TIPP Insights,803
Pennsylvania,10/8/2024,48%,46%,Emerson College,1000
Montana,10/8/2024,44%,52%,The New York Times/Siena College,656
Montana,10/1/2024,45%,51%,Public Opinion Strategies,500
Nevada,10/8/2024,50%,42%,Emerson College,900
Arizona,10/8/2024,50%,43%,Emerson College,1000
Ohio,10/7/2024,48%,47%,The Washington Post,1002
Ohio,10/7/2024,50%,48%,Marist College,1327
Texas,10/7/2024,46%,51%,Marist College,1186
Texas,10/4/2024,44%,48%,The New York Times/Siena College,617
Florida,10/7/2024,48%,50%,Marist College,1257
Florida,10/6/2024,40%,49%,The New York Times/Siena College,622
Wisconsin,10/7/2024,50%,46%,Quinnipiac University,1073
Pennsylvania,10/7/2024,51%,43%,Quinnipiac University,1412
Michigan,10/7/2024,48%,48%,Quinnipiac University,1007
Maryland,9/28/2024,48%,39%,University of Maryland Baltimore County Institute of Politics,863
Arizona,10/7/2024,51%,39%,SoCal Strategies,735
Arizona,10/1/2024,51%,44%,"Fabrizio, Lee & Associates/Impact Research",600
Arizona,9/29/2024,48%,42%,National Research,600
Wisconsin,10/7/2024,52%,47%,Research Co.,450
Pennsylvania,10/7/2024,51%,48%,Research Co.,450
Pennsylvania,10/7/2024,53%,47%,ActiVote,400
Pennsylvania,9/29/2024,52%,42%,The Bullfinch Group,800
Michigan,10/7/2024,52%,47%,Research Co.,450
Michigan,10/4/2024,47%,43%,Glengariff Group,600
Texas,10/6/2024,44%,47%,Florida Atlantic University PolCom Lab/Mainstreet Research,775
Massachusetts,10/5/2024,59%,35%,Suffolk University,500
Nebraska,10/3/2024,48%,46%,Impact Research,600
Nevada,10/3/2024,56%,40%,RMG Research,782
Virginia,10/4/2024,55%,35%,Christopher Newport University Wason Center for Civic Leadership,800
Arizona,10/2/2024,52%,42%,RMG Research,783
Arizona,10/2/2024,48%,42%,Redfield & Wilton Strategies,555
Wisconsin,10/2/2024,47%,42%,Redfield & Wilton Strategies,533
Nevada,10/2/2024,48%,41%,Redfield & Wilton Strategies,514
Minnesota,10/2/2024,46%,38%,Redfield & Wilton Strategies,551
Michigan,10/2/2024,45%,39%,Redfield & Wilton Strategies,839
Florida,10/2/2024,41%,44%,Redfield & Wilton Strategies,2946
Indiana,10/5/2024,44%,56%,ActiVote,400
Arizona,9/29/2024,51%,41%,HighGround,500
Nevada,9/19/2024,48%,41%,Tarrance Group,600
Texas,9/9/2024,40%,46%,CWS Research,504
Michigan,9/30/2024,49%,44%,Mitchell Research & Communications,709
Nevada,9/30/2024,49%,42%,InsiderAdvantage,800
Arizona,9/30/2024,50%,43%,InsiderAdvantage,800
Pennsylvania,9/29/2024,45%,44%,OnMessage,800
Florida,9/27/2024,44%,50%,RMG Research,774
Ohio,9/27/2024,49%,45%,YouGov,1000
Nebraska,10/1/2024,47%,42%,The Bullfinch Group,400
Missouri,10/1/2024,46%,54%,ActiVote,400
North Dakota,9/30/2024,29%,51%,WPA Intelligence,500
Michigan,9/30/2024,47%,47%,Trafalgar Group,1086
Michigan,9/25/2024,50%,46%,BSG/GS Strategy Group,416
Wisconsin,9/30/2024,48%,46%,Trafalgar Group,1079
Wisconsin,9/26/2024,51%,45%,Marquette University Law School,798
Wisconsin,9/25/2024,49%,47%,BSG/GS Strategy Group,411
Texas,9/27/2024,47%,50%,RMG Research,779
Florida,9/25/2024,44%,51%,McLaughlin & Associates,1000
Pennsylvania,9/25/2024,52%,45%,BSG/GS Strategy Group,474
Nevada,9/25/2024,52%,38%,BSG/GS Strategy Group,409
Arizona,9/25/2024,54%,41%,BSG/GS Strategy Group,409
Massachusetts,9/21/2024,53%,32%,Opinion Diagnostics,638
Texas,9/30/2024,48%,52%,ActiVote,400
Arizona,9/28/2024,52%,41%,Emerson College,920
Michigan,9/27/2024,49%,43%,RMG Research,789
Michigan,9/20/2024,50%,43%,Remington Research Group,800
North Dakota,9/26/2024,40%,49%,Lake Research Partners,500
New York,9/25/2024,50%,33%,Emerson College,1000
Pennsylvania,9/24/2024,49%,45%,"Fabrizio, Lee & Associates/Impact Research",600
Pennsylvania,9/20/2024,49%,45%,Remington Research Group,800
Montana,9/20/2024,44%,52%,Remington Research Group,800
Wisconsin,9/20/2024,49%,47%,Remington Research Group,800
Nevada,9/20/2024,47%,41%,Remington Research Group,800
Pennsylvania,9/29/2024,51%,48%,Patriot Polling,816
Pennsylvania,9/29/2024,47%,46%,Trafalgar Group,1090
Wisconsin,9/29/2024,54%,46%,ActiVote,400
Texas,9/26/2024,43%,54%,Public Policy Polling,759
Florida,9/26/2024,43%,44%,Public Policy Polling,808
Florida,9/25/2024,44%,45%,Victory Insights,600
Indiana,9/25/2024,35%,49%,ARW Strategies,600
California,9/25/2024,56%,37%,University of Southern California/California State University Long Beach Center for Urban Politics and Policy/Cal Poly Ponoma,1685
Rhode Island,9/20/2024,52%,36%,Embold Research,876
North Dakota,9/24/2024,31%,60%,WPA Intelligence,521
Wisconsin,9/25/2024,48%,47%,AtlasIntel,1077
Pennsylvania,9/25/2024,47%,45%,AtlasIntel,1775
Nevada,9/25/2024,48%,46%,AtlasIntel,858
Michigan,9/25/2024,44%,49%,AtlasIntel,918
Arizona,9/25/2024,50%,46%,AtlasIntel,946
Wisconsin,9/26/2024,50%,43%,The New York Times/Siena College,680
Ohio,9/26/2024,47%,43%,The New York Times/Siena College,687
Michigan,9/26/2024,47%,42%,The New York Times/Siena College,688
Delaware,9/19/2024,52%,32%,University of Delaware Center for Political Communication,383
Pennsylvania,9/24/2024,53%,44%,Beacon Research/Shaw & Company Research,775
Arizona,9/24/2024,55%,42%,Beacon Research/Shaw & Company Research,764
Arizona,9/24/2024,47%,41%,Suffolk University,500
Wisconsin,9/23/2024,51%,45%,RMG Research,788
New York,9/25/2024,60%,40%,ActiVote,400
Virginia,9/24/2024,51%,41%,Emerson College,860
Texas,9/24/2024,45%,49%,Emerson College,950
Arizona,9/24/2024,54%,44%,Marist College,1264
Florida,9/23/2024,44%,46%,The Bullfinch Group,600
Nebraska Special,9/23/2024,35%,53%,SurveyUSA,558
Nebraska,9/23/2024,45%,44%,SurveyUSA,558
Maryland,9/23/2024,51%,40%,The Washington Post/University of Maryland Center for Democracy and Civic Engagement,1012
Pennsylvania,9/22/2024,48%,40%,Susquehanna Polling & Research,700
Florida,9/22/2024,46%,54%,ActiVote,400
Ohio,9/22/2024,49%,51%,ActiVote,400
Arizona,9/21/2024,49%,43%,The New York Times/Siena College,713
California,9/21/2024,63%,37%,ActiVote,400
Pennsylvania,9/20/2024,50%,44%,RMG Research,783
Ohio,9/20/2024,46%,48%,RMG Research,781
Wisconsin,9/19/2024,46%,41%,Redfield & Wilton Strategies,600
Pennsylvania,9/19/2024,47%,41%,Redfield & Wilton Strategies,1086
Pennsylvania,9/19/2024,48%,43%,Muhlenberg College Institute of Public Opinion,450
Pennsylvania,9/19/2024,47%,38%,University of Massachusetts Lowell Center for Public Opinion/YouGov,800
Nevada,9/19/2024,47%,38%,Redfield & Wilton Strategies,652
Minnesota,9/19/2024,42%,34%,Redfield & Wilton Strategies,703
Michigan,9/19/2024,46%,37%,Redfield & Wilton Strategies,993
Michigan,9/19/2024,47%,34%,University of Massachusetts Lowell Center for Public Opinion/YouGov,650
Florida,9/19/2024,41%,45%,Redfield & Wilton Strategies,1602
Arizona,9/19/2024,46%,41%,Redfield & Wilton Strategies,789
Montana,9/19/2024,43%,50%,RMG Research,491
Utah,9/19/2024,34%,53%,Lighthouse Research,526
Michigan,9/18/2024,45%,43%,Suffolk University,500
Michigan,9/18/2024,47%,42%,Emerson College,875
Michigan,9/18/2024,49%,47%,Tarrance Group,607
